pathid	pathway	gene
PWY-66	GDP-L-fucose biosynthesis	SGL_RS01900
PWY-5659	GDP-mannose biosynthesis	SGL_RS10610
PWY-5659	GDP-mannose biosynthesis	SGL_RS06150
PWY-5659	GDP-mannose biosynthesis	SGL_RS17400
PWY-5659	GDP-mannose biosynthesis	SGL_RS10125
PWY-5122	geranyl diphosphate biosynthesis	SGL_RS02445
PWY-5120	geranylgeranyl diphosphate biosynthesis	SGL_RS02445
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS11420
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS09170
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS11345
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS13385
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS17045
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS11980
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS12450
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS17675
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS15890
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS13180
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS10125
GLUCONEO-PWY-1	gluconeogenesis I	SGL_RS16420
PWY-7902	glucosylglycerol biosynthesis	SGL_RS17630
PWY-7902	glucosylglycerol biosynthesis	SGL_RS11085
PWY-7902	glucosylglycerol biosynthesis	SGL_RS18090
PWY-7902	glucosylglycerol biosynthesis	SGL_RS17740
PWY-7902	glucosylglycerol biosynthesis	SGL_RS04330
PWY-7902	glucosylglycerol biosynthesis	SGL_RS11340
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS17390
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS14530
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS10865
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS07160
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS16515
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS13520
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS10805
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS02440
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS13880
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS10250
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS15330
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS17380
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS02895
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS04160
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS09060
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	SGL_RS11745
GLUTATHIONESYN-PWY	glutathione biosynthesis	SGL_RS12490
GLUTATHIONESYN-PWY	glutathione biosynthesis	SGL_RS06800
PWY-4261	glycerol degradation I	SGL_RS11095
PWY-4261	glycerol degradation I	SGL_RS11080
GLYSYN-PWY	glycine biosynthesis	SGL_RS04690
GLYCLEAV-PWY	glycine cleavage	SGL_RS11955
GLYCLEAV-PWY	glycine cleavage	SGL_RS12745
GLYCLEAV-PWY	glycine cleavage	SGL_RS07170
GLYCLEAV-PWY	glycine cleavage	SGL_RS02780
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	SGL_RS02105
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	SGL_RS12525
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	SGL_RS12820
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	SGL_RS18090
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	SGL_RS17740
PWY-5941	glycogen degradation II	SGL_RS07100
PWY-5941	glycogen degradation II	SGL_RS06895
PWY-5941	glycogen degradation II	SGL_RS17740
PWY-5941	glycogen degradation II	SGL_RS03010
PWY-5941	glycogen degradation II	SGL_RS15590
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	SGL_RS06360
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	SGL_RS13765
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	SGL_RS09800
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	SGL_RS13640
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS16400
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS03255
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS11345
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS13385
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS13180
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS07215
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS17045
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS11980
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS17675
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS15640
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS07035
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS10125
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS15590
ANAGLYCOLYSIS-PWY	glycolysis	SGL_RS12450
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS18250
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS10995
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS12365
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	SGL_RS08785
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	SGL_RS13520
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	SGL_RS02240
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	SGL_RS12365
PWY-7856	heme <i>a</i> biosynthesis	SGL_RS10195
PWY-7856	heme <i>a</i> biosynthesis	SGL_RS10200
HEME-BIOSYNTHESIS	heme <i>b</i> biosynthesis	SGL_RS16675
HEME-BIOSYNTHESIS	heme <i>b</i> biosynthesis	SGL_RS03055
HEME-BIOSYNTHESIS	heme <i>b</i> biosynthesis	SGL_RS15155
HEME-BIOSYNTHESIS	heme <i>b</i> biosynthesis	SGL_RS03345
HEME-BIOSYNTHESIS	heme <i>b</i> biosynthesis	SGL_RS05455
HEME-BIOSYNTHESIS	heme <i>b</i> biosynthesis	SGL_RS10380
PWY-6622-1	heptadecane biosynthesis	SGL_RS13550
PWY-6622-1	heptadecane biosynthesis	SGL_RS04190
PWY-6622-1	heptadecane biosynthesis	SGL_RS13555
PWY2PN3-8	heptadecene biosynthesis	SGL_RS04190
PWY2PN3-8	heptadecene biosynthesis	SGL_RS13550
PWY2PN3-8	heptadecene biosynthesis	SGL_RS13555
PWY2PN3-8	heptadecene biosynthesis	SGL_RS06125
PWY-5382	hydrogen oxidation II (aerobic, NAD)	SGL_RS09760
PWY-5382	hydrogen oxidation II (aerobic, NAD)	SGL_RS09755
PWY-5382	hydrogen oxidation II (aerobic, NAD)	SGL_RS09745
PWY-5382	hydrogen oxidation II (aerobic, NAD)	SGL_RS09740
PWY-5382	hydrogen oxidation II (aerobic, NAD)	SGL_RS09725
PWY-5695	inosine 5'-phosphate degradation	SGL_RS08785
PWY-5695	inosine 5'-phosphate degradation	SGL_RS18120
PWY-5695	inosine 5'-phosphate degradation	SGL_RS15915
PWY-5695	inosine 5'-phosphate degradation	SGL_RS06530
PWY-5695	inosine 5'-phosphate degradation	SGL_RS17495
PWY-6123	inosine-5'-phosphate biosynthesis	SGL_RS06690
PWY-6123	inosine-5'-phosphate biosynthesis	SGL_RS11780
PWY-6123	inosine-5'-phosphate biosynthesis	SGL_RS18300
PWY-6123	inosine-5'-phosphate biosynthesis	SGL_RS16805
PWY-6123	inosine-5'-phosphate biosynthesis	SGL_RS18210
PWY0-1021	L-alanine biosynthesis	SGL_RS02380
PWY0-1021	L-alanine biosynthesis	SGL_RS13005
PWY0-1021	L-alanine biosynthesis	SGL_RS15265
PWY0-1021	L-alanine biosynthesis	SGL_RS14800
PWY0-1021	L-alanine biosynthesis	SGL_RS13810
PWY1-2	L-alanine degradation IV	SGL_RS02960
ARGSYNBSUB-PWY	L-arginine biosynthesis	SGL_RS18195
ARGSYNBSUB-PWY	L-arginine biosynthesis	SGL_RS05520
ARGSYNBSUB-PWY	L-arginine biosynthesis	SGL_RS16800
ARGSYNBSUB-PWY	L-arginine biosynthesis	SGL_RS04875
ARGSYNBSUB-PWY	L-arginine biosynthesis	SGL_RS15325
ARGSYNBSUB-PWY	L-arginine biosynthesis	SGL_RS05885
ARGSYNBSUB-PWY	L-arginine biosynthesis	SGL_RS17390
ARGSYNBSUB-PWY	L-arginine biosynthesis	SGL_RS14530
ARGSYNBSUB-PWY	L-arginine biosynthesis	SGL_RS10330
ARGSYNBSUB-PWY	L-arginine biosynthesis	SGL_RS04340
ARGSYNBSUB-PWY	L-arginine biosynthesis	SGL_RS11925
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	SGL_RS11775
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	SGL_RS15655
ASPARTATESYN-PWY	L-aspartate biosynthesis	SGL_RS13490
ASPARTATE-DEG1-PWY	L-aspartate degradation I	SGL_RS13490
CITRULLINE-DEG-PWY	L-citrulline degradation	SGL_RS16800
CITRULLINE-DEG-PWY	L-citrulline degradation	SGL_RS18255
CITRULLINE-DEG-PWY	L-citrulline degradation	SGL_RS17390
CITRULLINE-DEG-PWY	L-citrulline degradation	SGL_RS14530
CYSTSYN-PWY	L-cysteine biosynthesis	SGL_RS10115
CYSTSYN-PWY	L-cysteine biosynthesis	SGL_RS06370
CYSTSYN-PWY	L-cysteine biosynthesis	SGL_RS02310
PWY-5329	L-cysteine degradation III	SGL_RS13490
PWY-8452	L-cysteine degradation IV	SGL_RS02380
PWY-8452	L-cysteine degradation IV	SGL_RS13005
PWY-8452	L-cysteine degradation IV	SGL_RS15265
PWY-8452	L-cysteine degradation IV	SGL_RS14800
PWY-8452	L-cysteine degradation IV	SGL_RS13810
GLUTSYN-PWY	L-glutamate biosynthesis I	SGL_RS17390
GLUTSYN-PWY	L-glutamate biosynthesis I	SGL_RS14530
GLUTSYN-PWY	L-glutamate biosynthesis I	SGL_RS02440
GLUTSYN-PWY	L-glutamate biosynthesis I	SGL_RS13880
GLUTSYN-PWY	L-glutamate biosynthesis I	SGL_RS02895
GLUTSYN-PWY	L-glutamate biosynthesis I	SGL_RS04160
GLUTSYNIII-PWY	L-glutamate biosynthesis III	SGL_RS16330
PWY-4341	L-glutamate biosynthesis V	SGL_RS17380
PWY0-1305	L-glutamate degradation IX (via 4-aminobutanoate)	SGL_RS04385
PWY-5087	L-glutamate degradation VI (to pyruvate)	SGL_RS11140
GLNSYN-PWY	L-glutamine biosynthesis	SGL_RS04340
GLNSYN-PWY	L-glutamine biosynthesis	SGL_RS11925
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS17390
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS14530
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS10865
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS07160
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS16515
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS13520
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS10805
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS02440
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS13880
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS10250
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS15330
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS17380
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS02895
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS04160
GLUTAMINDEG-PWY	L-glutamine degradation I	SGL_RS09060
HISTSYN-PWY	L-histidine biosynthesis	SGL_RS04465
HISTSYN-PWY	L-histidine biosynthesis	SGL_RS03870
HISTSYN-PWY	L-histidine biosynthesis	SGL_RS08510
HISTSYN-PWY	L-histidine biosynthesis	SGL_RS08515
HISTSYN-PWY	L-histidine biosynthesis	SGL_RS15395
HISTSYN-PWY	L-histidine biosynthesis	SGL_RS10250
HISTSYN-PWY	L-histidine biosynthesis	SGL_RS15330
HISTSYN-PWY	L-histidine biosynthesis	SGL_RS17225
HISTSYN-PWY	L-histidine biosynthesis	SGL_RS18375
HISTSYN-PWY	L-histidine biosynthesis	SGL_RS16845
HISTSYN-PWY	L-histidine biosynthesis	SGL_RS17420
HOMOSERSYN-PWY	L-homoserine biosynthesis	SGL_RS17290
HOMOSERSYN-PWY	L-homoserine biosynthesis	SGL_RS16920
HOMOSERSYN-PWY	L-homoserine biosynthesis	SGL_RS14120
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	SGL_RS18015
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	SGL_RS16510
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	SGL_RS17215
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	SGL_RS09105
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	SGL_RS13860
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	SGL_RS06140
PWY-5101	L-isoleucine biosynthesis II	SGL_RS11140
PWY-5101	L-isoleucine biosynthesis II	SGL_RS09375
PWY-5101	L-isoleucine biosynthesis II	SGL_RS09105
PWY-5101	L-isoleucine biosynthesis II	SGL_RS13860
PWY-5101	L-isoleucine biosynthesis II	SGL_RS17215
PWY-5101	L-isoleucine biosynthesis II	SGL_RS18015
PWY-5101	L-isoleucine biosynthesis II	SGL_RS16510
LEUSYN-PWY	L-leucine biosynthesis	SGL_RS09375
LEUSYN-PWY	L-leucine biosynthesis	SGL_RS16510
LEUSYN-PWY	L-leucine biosynthesis	SGL_RS12850
LEUSYN-PWY	L-leucine biosynthesis	SGL_RS10800
LEUSYN-PWY	L-leucine biosynthesis	SGL_RS17620
PWY-5097	L-lysine biosynthesis	SGL_RS17290
PWY-5097	L-lysine biosynthesis	SGL_RS16920
PWY-5097	L-lysine biosynthesis	SGL_RS16925
PWY-5097	L-lysine biosynthesis	SGL_RS15455
PWY-5097	L-lysine biosynthesis	SGL_RS17890
PWY-5097	L-lysine biosynthesis	SGL_RS16710
PWY-5097	L-lysine biosynthesis	SGL_RS02200
PWY2PN3-16	L-methionine biosynthesis	SGL_RS14710
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	SGL_RS03470
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	SGL_RS09665
PHESYN	L-phenylalanine biosynthesis	SGL_RS03135
PHESYN	L-phenylalanine biosynthesis	SGL_RS15675
PHESYN	L-phenylalanine biosynthesis	SGL_RS13490
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	SGL_RS17305
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	SGL_RS14505
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	SGL_RS14025
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	SGL_RS04550
PROUT-PWY	L-proline degradation I	SGL_RS11170
SERSYN-PWY	L-serine biosynthesis I	SGL_RS11200
SERSYN-PWY	L-serine biosynthesis I	SGL_RS09555
SERSYN-PWY	L-serine biosynthesis I	SGL_RS08600
SERSYN-PWY	L-serine biosynthesis I	SGL_RS02245
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	SGL_RS07645
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	SGL_RS07980
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	SGL_RS10720
PWY-5437	L-threonine degradation I	SGL_RS07720
PWY-5437	L-threonine degradation I	SGL_RS05025
PWY-5437	L-threonine degradation I	SGL_RS06140
TRPSYN-PWY	L-tryptophan biosynthesis	SGL_RS16890
TRPSYN-PWY	L-tryptophan biosynthesis	SGL_RS12060
TRPSYN-PWY	L-tryptophan biosynthesis	SGL_RS07485
TRPSYN-PWY	L-tryptophan biosynthesis	SGL_RS02440
TRPSYN-PWY	L-tryptophan biosynthesis	SGL_RS13880
TRPSYN-PWY	L-tryptophan biosynthesis	SGL_RS16740
TRPSYN-PWY	L-tryptophan biosynthesis	SGL_RS03395
PWY-3461	L-tyrosine biosynthesis	SGL_RS15675
PWY-3461	L-tyrosine biosynthesis	SGL_RS09070
VALSYN-PWY	L-valine biosynthesis	SGL_RS18015
VALSYN-PWY	L-valine biosynthesis	SGL_RS16510
VALSYN-PWY	L-valine biosynthesis	SGL_RS17215
VALSYN-PWY	L-valine biosynthesis	SGL_RS09105
VALSYN-PWY	L-valine biosynthesis	SGL_RS13860
PWY-7928	lactate racemase nickel cofactor biosynthesis	SGL_RS08745
PWY-101	linear electron flow I (plastocyanin)	SGL_RS04410
PWY-101	linear electron flow I (plastocyanin)	SGL_RS07800
PWY-101	linear electron flow I (plastocyanin)	SGL_RS06990
PWY-101	linear electron flow I (plastocyanin)	SGL_RS19120
PWY-101	linear electron flow I (plastocyanin)	SGL_RS14050
PWY-101	linear electron flow I (plastocyanin)	SGL_RS02070
PWY-101	linear electron flow I (plastocyanin)	SGL_RS11935
PWY-101	linear electron flow I (plastocyanin)	SGL_RS03265
PWY-101	linear electron flow I (plastocyanin)	SGL_RS13125
PWY-101	linear electron flow I (plastocyanin)	SGL_RS11735
PWY-101	linear electron flow I (plastocyanin)	SGL_RS18770
PWY-101	linear electron flow I (plastocyanin)	SGL_RS18650
PWY-101	linear electron flow I (plastocyanin)	SGL_RS04540
PWY-101	linear electron flow I (plastocyanin)	SGL_RS04440
PWY-101	linear electron flow I (plastocyanin)	SGL_RS04545
PWY-101	linear electron flow I (plastocyanin)	SGL_RS12880
PWY-101	linear electron flow I (plastocyanin)	SGL_RS07325
PWY-101	linear electron flow I (plastocyanin)	SGL_RS04535
PWY-101	linear electron flow I (plastocyanin)	SGL_RS04530
PWY-101	linear electron flow I (plastocyanin)	SGL_RS08200
PWY-101	linear electron flow I (plastocyanin)	SGL_RS14825
PWY-101	linear electron flow I (plastocyanin)	SGL_RS08205
PWY-101	linear electron flow I (plastocyanin)	SGL_RS16825
PWY-101	linear electron flow I (plastocyanin)	SGL_RS10440
PWY-101	linear electron flow I (plastocyanin)	SGL_RS01910
PWY-101	linear electron flow I (plastocyanin)	SGL_RS11630
PWY-101	linear electron flow I (plastocyanin)	SGL_RS09595
PWY-101	linear electron flow I (plastocyanin)	SGL_RS07315
PWY-101	linear electron flow I (plastocyanin)	SGL_RS13200
PWY-101	linear electron flow I (plastocyanin)	SGL_RS07320
PWY-101	linear electron flow I (plastocyanin)	SGL_RS13205
PWY-101	linear electron flow I (plastocyanin)	SGL_RS10475
PWY-101	linear electron flow I (plastocyanin)	SGL_RS16365
PWY-101	linear electron flow I (plastocyanin)	SGL_RS18655
PWY-101	linear electron flow I (plastocyanin)	SGL_RS17240
PWY-101	linear electron flow I (plastocyanin)	SGL_RS04090
PWY-101	linear electron flow I (plastocyanin)	SGL_RS17820
PWY-101	linear electron flow I (plastocyanin)	SGL_RS02600
PWY-101	linear electron flow I (plastocyanin)	SGL_RS09805
PWY-101	linear electron flow I (plastocyanin)	SGL_RS17825
PWY-101	linear electron flow I (plastocyanin)	SGL_RS09810
PWY-101	linear electron flow I (plastocyanin)	SGL_RS11240
PWY-101	linear electron flow I (plastocyanin)	SGL_RS02435
PWY-101	linear electron flow I (plastocyanin)	SGL_RS12620
PWY-101	linear electron flow I (plastocyanin)	SGL_RS06310
PWY-101	linear electron flow I (plastocyanin)	SGL_RS06305
PWY-101	linear electron flow I (plastocyanin)	SGL_RS13610
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS04410
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS07800
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS06990
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS19120
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS14050
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS02070
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS11935
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS03265
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS13125
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS11735
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS18770
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS18650
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS04540
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS04440
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS04545
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS12880
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS07325
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS04535
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS04530
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS08200
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS14825
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS08205
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS16825
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS10440
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS01910
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS11630
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS17240
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS04090
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS17820
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS02600
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS09805
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS17825
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS09810
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS11240
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS02435
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS12620
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS06310
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS06305
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS09595
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS07315
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS13200
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS07320
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS13205
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS10475
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS16365
PWY2PN3-7	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	SGL_RS18655
PWY-7593	linoleoyl-[lipid] biosynthesis	SGL_RS10130
PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic)	SGL_RS14465
PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic)	SGL_RS04100
PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic)	SGL_RS13060
PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic)	SGL_RS13445
PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic)	SGL_RS11120
PWY0-501	lipoate biosynthesis and incorporation I	SGL_RS04060
PWY0-501	lipoate biosynthesis and incorporation I	SGL_RS07235
PWY0-501	lipoate biosynthesis and incorporation I	SGL_RS12510
PWY0-1275	lipoate biosynthesis and incorporation II	SGL_RS12510
PWY0-1275	lipoate biosynthesis and incorporation II	SGL_RS04060
PWY0-1275	lipoate biosynthesis and incorporation II	SGL_RS07235
PWY0-522	lipoate salvage I	SGL_RS12510
PWY-6984	lipoate salvage II	SGL_RS12510
PWY-7560	methylerythritol phosphate pathway	SGL_RS04515
PWY-7560	methylerythritol phosphate pathway	SGL_RS13380
PWY-7560	methylerythritol phosphate pathway	SGL_RS06450
PWY-7560	methylerythritol phosphate pathway	SGL_RS07775
PWY-7560	methylerythritol phosphate pathway	SGL_RS13250
PWY-7560	methylerythritol phosphate pathway	SGL_RS02315
PWY-7560	methylerythritol phosphate pathway	SGL_RS11415
PWY-7560	methylerythritol phosphate pathway	SGL_RS11230
PWY-8171	molybdenum cofactor biosynthesis	SGL_RS16430
PWY-8171	molybdenum cofactor biosynthesis	SGL_RS16435
PWY-8171	molybdenum cofactor biosynthesis	SGL_RS14785
PWY-6823	molybdopterin biosynthesis	SGL_RS14790
PWY-6823	molybdopterin biosynthesis	SGL_RS14805
PWY-6823	molybdopterin biosynthesis	SGL_RS11520
PWY-6823	molybdopterin biosynthesis	SGL_RS14795
PWY-6823	molybdopterin biosynthesis	SGL_RS15265
PWY-6823	molybdopterin biosynthesis	SGL_RS14800
PWY-6279-1	myxol 2'-dimethylfucoside biosynthesis	SGL_RS09860
PWY-6279-1	myxol 2'-dimethylfucoside biosynthesis	SGL_RS04295
PWY-6279-1	myxol 2'-dimethylfucoside biosynthesis	SGL_RS06460
PWY-7801	N-end rule pathway I (prokaryotic)	SGL_RS07230
PWY-7801	N-end rule pathway I (prokaryotic)	SGL_RS17285
PWY-7801	N-end rule pathway I (prokaryotic)	SGL_RS17105
PWY-7801	N-end rule pathway I (prokaryotic)	SGL_RS06495
PWY-7801	N-end rule pathway I (prokaryotic)	SGL_RS04835
PWY-7801	N-end rule pathway I (prokaryotic)	SGL_RS06995
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	SGL_RS11950
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	SGL_RS09815
