gene	seqnames	start	end	strand	name	locus	locus_alt	synonyms	product
SGL_RS04205	chromosome	491496	492059	+	pilI	slr1043	SGL_RS04205	RS04205	CheW-like chemotaxis protein PilI
SGL_RS04210	chromosome	492130	494739	+	pilJ	slr1044	SGL_RS04210	RS04210 // ctr1 // mcpA	methyl-accepting chemotaxis protein PilJ
SGL_RS04215	chromosome	494828	495619	+	sltA1	slr1045	SGL_RS04215	RS04215	MlaE family lipid ABC transporter permease subunit
SGL_RS04220	chromosome	495749	496006	+	tatB	slr1046	SGL_RS04220	RS04220 // pilA3	TatA/E family twin arginine-targeting protein translocase
SGL_RS04225	chromosome	496450	497844	+	slr1047	slr1047	SGL_RS04225	RS04225	sensor domain-containing diguanylate cyclase
SGL_RS19430	chromosome	497906	498073	+	SGL_RS19430	SGL_RS19430	NA	RS19430	hypothetical protein
SGL_RS04230	chromosome	498076	501096	+	sbcC	slr1048	SGL_RS04230	RS04230	exonuclease subunit SbcC
SLR1048-AS	chromosome	500936	501120	-	slr1048-as	slr1048-as	NA	NA	SLR1048-AS-RNA
SGL_RS04235	chromosome	501178	501966	-	sll1011	sll1011	SGL_RS04235	RS04235	type III DnaJ molecular chaperone
SGL_RS04240	chromosome	502042	502215	+	rpmF	ssr1736	SGL_RS04240	RS04240 // rpl32	50S ribosomal protein L32
SGL_RS04245	chromosome	502314	503747	+	slr1050	slr1050	SGL_RS04245	RS04245	dolichyl-phosphate-mannose--protein mannosyltransferase
SLR1050-AS	chromosome	503185	503281	-	slr1050-as	slr1050-as	NA	NA	SLR1050-AS-RNA
SGL_RS04250	chromosome	503943	504719	+	fabI	slr1051	SGL_RS04250	RS04250	enoyl-ACP reductase FabI
SGL_RS04255	chromosome	504755	505267	+	slr1052	slr1052	SGL_RS04255	RS04255	tetratricopeptide repeat protein
SGL_RS04260	chromosome	505356	506159	+	slr1053	slr1053	SGL_RS04260	RS04260	DUF2993 domain-containing protein
SGL_RS04265	chromosome	506252	508027	-	sll1009	sll1009	SGL_RS04265	RS04265	calcium-binding protein
SLL1009-AS	chromosome	507086	507104	+	sll1009-as	sll1009-as	NA	NA	SLL1009-AS-RNA
NCL0170	chromosome	508107	508217	-	ncl0170	ncl0170	NA	NA	NCL0170-RNA
SGL_RS04275	chromosome	508515	512510	+	chlH	slr1055	SGL_RS04275	RS04275 // bchH	magnesium chelatase subunit H
SGL_RS04280	chromosome	512615	514633	+	slr1056	slr1056	SGL_RS04280	RS04280	ATP-dependent endonuclease
SGL_RS04285	chromosome	514847	515926	-	sll1006	sll1006	SGL_RS04285	RS04285	DUF2157 domain-containing protein
SLL1006-AS2	chromosome	514944	514988	+	sll1006-as2	sll1006-as2	NA	NA	SLL1006-AS2-RNA
SLL1006-AS	chromosome	515643	515790	+	sll1006-as	sll1006-as	NA	NA	SLL1006-AS-RNA
SGL_RS04290	chromosome	516088	516897	-	mazG	sll1005	SGL_RS04290	RS04290	regulatory protein for beta-lactamase
SGL_RS04295	chromosome	517027	518211	-	cruG	sll1004	SGL_RS04295	RS04295	myxol 2'-O-glycosyltransferase
SGL_RS04300	chromosome	518287	520272	-	hik13	sll1003	SGL_RS04300	RS04300	two-component sensor histidine kinase
NCL0180	chromosome	520534	520618	-	ncl0180	ncl0180	NA	NA	NCL0180-RNA
SGL_RS18690	chromosome	520682	520840	-	ssl1923	ssl1923	SGL_RS18690	RS18690	DUF4351 domain-containing protein
SGL_RS18695	chromosome	520889	521357	-	ssl1920	ssl1920	SGL_RS18695	RS18695 // ssl1922	transposase (inactive)
SSL1920-AS	chromosome	521350	521391	+	ssl1920-as	ssl1920-as	NA	NA	SSL1920-AS-RNA
SGL_RS04310	chromosome	521483	522853	-	sltB2	sll1002	SGL_RS04310	RS04310	MlaD family protein
SGL_RS04315	chromosome	523016	523798	-	sltC2	sll1001	SGL_RS04315	RS04315	ABC transporter ATP-binding protein
SGL_RS04320	chromosome	523821	524093	-	ssl1918	ssl1918	SGL_RS04320	RS04320	hypothetical protein
SLR1753-AS	chromosome	524289	524386	-	slr1753-as	slr1753-as	NA	NA	SLR1753-AS-RNA
SGL_RS04325	chromosome	524382	529595	+	slr1753	slr1753	SGL_RS04325	RS04325	CHAT domain-containing protein
SGL_RS04330	chromosome	529735	530688	+	gpsA	slr1755	SGL_RS04330	RS04330	glycerol-3-phosphate dehydrogenase [NAD(P)+]
SGL_RS04335	chromosome	530717	531235	-	sll1647	sll1647	SGL_RS04335	RS04335	GNAT family N-acetyltransferase
SGL_RS04340	chromosome	531446	532867	+	glnA	slr1756	SGL_RS04340	RS04340	glutamine synthetase type I monomer
SGL_RS04345	chromosome	533113	537474	+	pleC	slr1759	SGL_RS04345	RS04345 // hik14	hybrid sensory histidine kinase Slr1759
SGL_RS04350	chromosome	537471	538418	+	pelD	slr1760	SGL_RS04350	RS04350	PleD family two-component system response regulator
SGL_RS04355	chromosome	538415	539020	+	slr1761	slr1761	SGL_RS04355	RS04355	FKBP-type peptidyl-prolyl cis-trans isomerase
SGL_RS04360	chromosome	539288	539854	-	fau	sll1643	SGL_RS04360	RS04360	5-formyltetrahydrofolate cyclo-ligase
SGL_RS04365	chromosome	540011	540763	+	slr1762	slr1762	SGL_RS04365	RS04365	2-phosphoglycolate phosphatase
SGL_RS04370	chromosome	540863	542065	+	slr1763	slr1763	SGL_RS04370	RS04370	class I SAM-dependent methyltransferase
SLR1763-AS2	chromosome	541373	541479	-	slr1763-as2	slr1763-as2	NA	NA	SLR1763-AS2-RNA
SLR1763-AS	chromosome	541548	541591	-	slr1763-as	slr1763-as	NA	NA	SLR1763-AS-RNA
SGL_RS04375	chromosome	542105	542596	-	sll1642	sll1642	SGL_RS04375	RS04375	hypothetical protein
SGL_RS04380	chromosome	542803	543342	+	slr1764	slr1764	SGL_RS04380	RS04380	TerD family protein
NCL0190	chromosome	543390	543450	-	ncl0190	ncl0190	NA	NA	NCL0190-RNA
SGL_RS04385	chromosome	543468	544871	-	gadA	sll1641	SGL_RS04385	RS04385	glutamate decarboxylase
SGL_RS04390	chromosome	545029	545253	+	vapB10	ssr2962	SGL_RS04390	RS04390	antitoxin VapB10
SGL_RS04395	chromosome	545250	545588	+	vapc10	slr1767	SGL_RS04395	RS04395	endoribonuclease VapC10
SGL_RS04400	chromosome	545591	546556	-	sll1640	sll1640	SGL_RS04400	RS04400	carbon-nitrogen hydrolase family protein
SGL_RS04405	chromosome	546553	547365	-	ureD	sll1639	SGL_RS04405	RS04405	urease accessory protein UreD
SGL_RS04410	chromosome	547425	547874	-	psbQ	sll1638	SGL_RS04410	RS04410	photosystem II protein CyanoQ
SLL1638-AS	chromosome	547665	547698	+	sll1638-as	sll1638-as	NA	NA	SLL1638-AS-RNA
SGL_RS04415	chromosome	548236	549132	+	slr1768	slr1768	SGL_RS04415	RS04415	prohibitin family protein
SGL_RS04420	chromosome	549129	549701	-	sll1636	sll1636	SGL_RS04420	RS04420	gamma carbonic anhydrase family protein
NCR0240	chromosome	549868	549922	+	ncr0240	ncr0240	NA	NA	NCR0240-RNA
SGL_RS04425	chromosome	549994	550329	+	slr1770	slr1770	SGL_RS04425	RS04425	hypothetical protein
SGL_RS04430	chromosome	550533	552170	+	slr1771	slr1771	SGL_RS04430	RS04430	CocE/NonD family hydrolase
SLR1771-AS	chromosome	550624	550719	-	slr1771-as	slr1771-as	NA	NA	SLR1771-AS-RNA
SGL_RS04435	chromosome	552220	552867	-	thyX	sll1635	SGL_RS04435	RS04435	FAD-dependent thymidylate synthase
SLL1635-AS	chromosome	552262	552323	+	sll1635-as	sll1635-as	NA	NA	SLL1635-AS-RNA
NCL0200	chromosome	552946	553007	-	ncl0200	ncl0200	NA	NA	NCL0200-RNA
SGL_RS04440	chromosome	553065	553202	-	psbK	sml0005	SGL_RS04440	RS04440	photosystem II reaction center protein K
SLL1752-AS	chromosome	553241	553385	+	sll1752-as	sll1752-as	NA	NA	SLL1752-AS-RNA
SGL_RS04445	chromosome	553297	554019	-	sll1752	sll1752	SGL_RS04445	RS04445	1-acylglycerol-3-phosphate <em>O</em>-acyltransferase
SGL_RS04450	chromosome	554289	554546	+	ssr3122	ssr3122	SGL_RS04450	RS04450	BolA family transcriptional regulator
SGL_RS04455	chromosome	554727	555050	+	grxC	slr1846	SGL_RS04455	RS04455	monothiol glutaredoxin monomer
SLR1847-AS	chromosome	555074	555222	-	slr1847-as	slr1847-as	NA	NA	SLR1847-AS-RNA
SGL_RS04460	chromosome	555262	555606	+	slr1847	slr1847	SGL_RS04460	RS04460	YbaB/EbfC family nucleoid-associated protein
SGL_RS04465	chromosome	555642	556946	+	hisD	slr1848	SGL_RS04465	RS04465	histidinol dehydrogenase
NCR0250	chromosome	557027	557131	+	ncr0250	ncr0250	NA	NA	NCR0250-RNA
SGL_RS04470	chromosome	557423	558979	+	merA	slr1849	SGL_RS04470	RS04470	mercuric reductase
SGL_RS04475	chromosome	559015	559350	-	sll1751	sll1751	SGL_RS04475	RS04475	hypothetical protein
SGL_RS04480	chromosome	559461	561170	-	ureC	sll1750	SGL_RS04480	RS04480	urease subunit alpha
SLL1750-AS2	chromosome	559475	559505	+	sll1750-as2	sll1750-as2	NA	NA	SLL1750-AS2-RNA
SLL1750-AS	chromosome	560229	560278	+	sll1750-as	sll1750-as	NA	NA	SLL1750-AS-RNA
SGL_RS04485	chromosome	561188	561658	-	sll1749	sll1749	SGL_RS04485	RS04485	DUF29 domain-containing protein
SLL1749-AS	chromosome	561257	561338	+	sll1749-as	sll1749-as	NA	NA	SLL1749-AS-RNA
SGL_RS04490	chromosome	561709	561963	-	ssl3342	ssl3342	SGL_RS04490	RS04490 // sll1749a	2TM domain-containing protein
NCL0210	chromosome	562345	562371	-	ncl0210	ncl0210	NA	NA	NCL0210-RNA
SGL_RS04495	chromosome	562557	563045	+	slr1851	slr1851	SGL_RS04495	RS04495	pentapeptide repeat-containing protein
SSR3129-AS	chromosome	563132	563254	-	ssr3129-as	ssr3129-as	NA	NA	SSR3129-AS-RNA
SGL_RS04500	chromosome	563138	563290	+	ssr3129	ssr3129	SGL_RS04500	RS04500	hypothetical protein
SGL_RS04505	chromosome	563448	565925	-	sll1946	sll1946	SGL_RS04505	RS04505	phospholipid carrier-dependent glycosyltransferase
SGL_RS04510	chromosome	566059	566805	+	slr2032	slr2032	SGL_RS04510	RS04510	DUF561 domain-containing protein
SGL_RS04515	chromosome	566983	568905	-	dxs	sll1945	SGL_RS04515	RS04515	1-deoxy-D-xylulose-5-phosphate synthase
SGL_RS04520	chromosome	569141	569488	+	slr2033	slr2033	SGL_RS04520	RS04520	rubredoxin
SGL_RS04525	chromosome	569544	570572	+	ycf48	slr2034	SGL_RS04525	RS04525	photosystem II assembly protein Ycf48
SLR2034-AS	chromosome	570387	570589	-	slr2034-as	slr2034-as	NA	NA	SLR2034-AS-RNA
SGL_RS04530	chromosome	570658	570903	+	psbE	ssr3451	SGL_RS04530	RS04530	cytochrome cytochrome b<sub>559</sub> &alpha; subunit
SGL_RS04535	chromosome	570940	571074	+	psbF	SGL_RS04535	NA	RS04535 // smr0006	cytochrome cytochrome b<sub>559</sub> &beta; subunit
SGL_RS04540	chromosome	571084	571203	+	psbL	smr0007	SGL_RS04540	RS04540	photosystem II reaction center protein L
SGL_RS04545	chromosome	571236	571355	+	psbJ	smr0008	SGL_RS04545	RS04545	photosystem II reaction center protein J
SGL_RS04550	chromosome	571440	572567	+	proB	slr2035	SGL_RS04550	RS04550	glutamate 5-kinase
SGL_RS19785	chromosome	572729	572906	+	ssr3452	ssr3452	SGL_RS19785	RS19785	IS701 family transposase (inactive)
G2PN3-390	chromosome	572978	573124	-	sml0010	sml0010	NA	NA	putative transposase
SGL_RS04560	chromosome	573494	574510	+	slr2036	slr2036	SGL_RS04560	RS04560	IS4-like element IS4Sa family transposase
SGL_RS04565	chromosome	574592	575464	+	slr2037	slr2037	SGL_RS04565	RS04565	hypothetical protein
SGL_RS04570	chromosome	575477	576127	+	slr2038	slr2038	SGL_RS04570	RS04570	Uma2 family endonuclease
SGL_RS04575	chromosome	576139	576870	-	sll1942	sll1942	SGL_RS04575	RS04575	hypothetical protein
SGL_RS04580	chromosome	576934	579696	-	parC	sll1941	SGL_RS04580	RS04580	DNA topoisomerase 4 subunit A
SLL1941-AS	chromosome	578218	578339	+	sll1941-as	sll1941-as	NA	NA	SLL1941-AS-RNA
SGL_RS04585	chromosome	579787	580194	+	divK	slr2041	SGL_RS04585	RS04585	cell division-related response regulator
SGL_RS04590	chromosome	580228	581055	+	slr2042	slr2042	SGL_RS04590	RS04590	zinc-dependent peptidase
SGL_RS04595	chromosome	581052	581474	-	sll1940	sll1940	SGL_RS04595	RS04595	PPC domain-containing protein
SGL_RS04600	chromosome	581518	582162	-	ftn6	sll1939	SGL_RS04600	RS04600	cell division protein Ftn6
SGL_RS04605	chromosome	582238	582477	+	ssr3465	ssr3465	SGL_RS04605	RS04605	hypothetical protein
SGL_RS04610	chromosome	582481	583092	-	sll1938	sll1938	SGL_RS04610	RS04610	Uma2 family endonuclease
SGL_RS04615	chromosome	583157	583573	-	sll1937	sll1937	SGL_RS04615	RS04615	ferric uptake regulation protein
SLR2043-AS2	chromosome	583621	583678	-	slr2043-as2	slr2043-as2	NA	NA	SLR2043-AS2-RNA
SGL_RS04620	chromosome	583680	584696	+	znuA	slr2043	SGL_RS04620	RS04620	zinc ABC transporter substrate-binding protein
SLR2043-AS	chromosome	583742	583820	-	slr2043-as	slr2043-as	NA	NA	SLR2043-AS-RNA
SGL_RS04625	chromosome	584710	585543	+	znuB	slr2044	SGL_RS04625	RS04625	zinc ABC transporter ATP-binding protein
SGL_RS04630	chromosome	585497	586342	+	znuC	slr2045	SGL_RS04630	RS04630	zinc ABC transporter permease
SLR2045-AS	chromosome	585922	585978	-	slr2045-as	slr2045-as	NA	NA	SLR2045-AS-RNA
SGL_RS04635	chromosome	586858	587145	+	ssr3467	ssr3467	SGL_RS04635	RS04635	hypothetical protein
SGL_RS04640	chromosome	587228	593125	+	slr2046	slr2046	SGL_RS04640	RS04640	cadherin domain-containing protein
SLR2046-AS3	chromosome	587783	587914	-	slr2046-as3	slr2046-as3	NA	NA	SLR2046-AS3-RNA
SLR2046-AS	chromosome	588590	588826	-	slr2046-as	slr2046-as	NA	NA	SLR2046-AS-RNA
SLR2046-AS2	chromosome	588658	588709	-	slr2046-as2	slr2046-as2	NA	NA	SLR2046-AS2-RNA
SLR2046-AS5	chromosome	591563	591595	-	slr2046-as5	slr2046-as5	NA	NA	SLR2046-AS5-RNA
SLR2046-AS6	chromosome	591960	592022	-	slr2046-as6	slr2046-as6	NA	NA	SLR2046-AS6-RNA
SLR2046-AS4	chromosome	592843	593116	-	slr2046-as4	slr2046-as4	NA	NA	SLR2046-AS4-RNA
SGL_RS04645	chromosome	593257	594243	+	phoH	slr2047	SGL_RS04645	RS04645	PhoH family protein
NCL0215	chromosome	594284	594407	+	ncl0215	ncl0215	NA	NA	NCL0215-RNA
SGL_RS04650	chromosome	594454	595650	+	PratA	slr2048	SGL_RS04650	RS04650	periplasmic photosystem II biogenesis factor PratA
SGL_RS04655	chromosome	595733	596311	+	cpcS	slr2049	SGL_RS04655	RS04655	phycobiliprotein cysteine-84 phycobilin lyase CpcS subunit
SGL_RS04660	chromosome	596498	597247	+	cpcG	slr2051	SGL_RS04660	RS04660 // cpcG1	phycobilisome rod-core linker protein CpcG
SGL_RS04665	chromosome	597591	598487	+	slr2052	slr2052	SGL_RS04665	RS04665	hypothetical protein
SGL_RS04670	chromosome	598484	598930	-	sll1934	sll1934	SGL_RS04670	RS04670	hypothetical protein
SGL_RS04675	chromosome	599062	599913	+	slr2053	slr2053	SGL_RS04675	RS04675	alpha/beta fold hydrolase
SGL_RS04680	chromosome	599910	600833	-	dnaJ3	sll1933	SGL_RS04680	RS04680	type II DnaJ molecular chaperone DnaJ3
SGL_RS04685	chromosome	600942	603257	-	dnaK3	sll1932	SGL_RS04685	RS04685	molecular chaperone DnaK3
SLL1932-AS	chromosome	602831	602932	+	sll1932-as	sll1932-as	NA	NA	SLL1932-AS-RNA
SGL_RS04690	chromosome	603443	604726	-	glyA	sll1931	SGL_RS04690	RS04690	glycine hydroxymethyltransferase
SGL_RS04695	chromosome	604963	605286	-	ssl3649	ssl3649	SGL_RS04695	RS04695	IS1 family transposase (inactive)
SLL1930-AS	chromosome	605525	605593	+	sll1930-as	sll1930-as	NA	NA	SLL1930-AS-RNA
SGL_RS20210	chromosome	605541	606035	-	sll1930	sll1930	SGL_RS20210	RS20210	IS630 family transposase
SGL_RS20215	chromosome	606029	606328	-	SGL_RS20215	SGL_RS20215	NA	RS20215	IS630 transposase-related protein
SGL_RS04705	chromosome	606465	608594	-	comE	sll1929	SGL_RS04705	RS04705	ComEC/Rec2 family competence protein
SGL_RS18705	chromosome	608740	609226	+	SGL_RS18705	SGL_RS18705	NA	RS18705	IS1 family transposase (inactive)
SGL_RS04710	chromosome	609469	610053	+	slr1906	slr1906	SGL_RS04710	RS04710	GNAT family N-acetyltransferase
SGL_RS04715	chromosome	610053	610487	+	slr1907	slr1907	SGL_RS04715	RS04715	hypothetical protein
SGL_RS04720	chromosome	611057	612832	+	slr1908	slr1908	SGL_RS04720	RS04720	iron uptake porin
SLR1908-AS	chromosome	611786	611908	-	slr1908-as	slr1908-as	NA	NA	SLR1908-AS-RNA
SGL_RS19335	chromosome	612924	613082	+	SGL_RS19335	SGL_RS19335	NA	RS19335	hypothetical protein
SGL_RS04725	chromosome	613102	613743	+	rre9	slr1909	SGL_RS04725	RS04725	phosphorylated Slr1909 // response regulator transcription factor Rre9
SLR1909-AS	chromosome	613610	613664	-	slr1909-as	slr1909-as	NA	NA	SLR1909-AS-RNA
SGL_RS04730	chromosome	613801	614817	+	amiC	slr1910	SGL_RS04730	RS04730	N-acetylmuramoyl-L-alanine amidase C
SGL_RS04735	chromosome	614841	615269	+	slr1911	slr1911	SGL_RS04735	RS04735	hypothetical protein
SLR1911-AS	chromosome	615157	615282	-	slr1911-as	slr1911-as	NA	NA	SLR1911-AS-RNA
SGL_RS04740	chromosome	615266	615703	-	sll1837	sll1837	SGL_RS04740	RS04740	DUF1036 domain-containing protein
SGL_RS04745	chromosome	615968	616324	+	slr1912	slr1912	SGL_RS04745	RS04745	STAS domain-containing protein
SGL_RS04750	chromosome	616456	616809	+	slr1913	slr1913	SGL_RS04750	RS04750	hypothetical protein
SGL_RS04755	chromosome	616912	617178	+	slr1914	slr1914	SGL_RS04755	RS04755	hypothetical protein
SGL_RS04760	chromosome	617390	618109	-	sll1835	sll1835	SGL_RS04760	RS04760	CsgG/HfaB family protein
SGL_RS04765	chromosome	618311	618694	-	sll1834	sll1834	SGL_RS04765	RS04765	TM2 domain-containing protein
NCR0270	chromosome	618897	618982	+	ncr0270	ncr0270	NA	NA	NCR0270-RNA
SGL_RS04770	chromosome	619215	619529	+	slr1915	slr1915	SGL_RS04770	RS04770	DUF1825 family protein
SGL_RS04775	chromosome	619618	620469	+	menH	slr1916	SGL_RS04775	RS04775	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
SGL_RS04780	chromosome	620560	621468	+	dphA1	slr1917	SGL_RS04780	RS04780	chlorophyllase 1
SGL_RS04785	chromosome	621618	622247	+	slr1918	slr1918	SGL_RS04785	RS04785	CPP1-like family protein
SLL1833-AS	chromosome	622212	622332	+	sll1833-as	sll1833-as	NA	NA	SLL1833-AS-RNA
SGL_RS04790	chromosome	622300	624123	-	ftsI	sll1833	SGL_RS04790	RS04790 // pbp4	cell division protein FtsI
SGL_RS04795	chromosome	624136	624594	-	sll1832	sll1832	SGL_RS04795	RS04795	hypothetical protein
SGL_RS04800	chromosome	624899	626281	-	sll1831	sll1831	SGL_RS04800	RS04800	(Fe-S)-binding protein
SGL_RS04805	chromosome	626349	627425	-	sll1830	sll1830	SGL_RS04805	RS04805	hypothetical protein
SLL1830-AS	chromosome	626551	626622	+	sll1830-as	sll1830-as	NA	NA	SLL1830-AS-RNA
SGL_RS04810	chromosome	627572	629272	+	spkK	slr1919	SGL_RS04810	RS04810	serine/threonine-protein kinase SpkK
SLR1919-AS	chromosome	629152	629305	-	slr1919-as	slr1919-as	NA	NA	SLR1919-AS-RNA
SGL_RS04815	chromosome	629398	630504	+	slr1920	slr1920	SGL_RS04815	RS04815	hypothetical protein
SGL_RS04820	chromosome	630555	631592	-	ycf30	sll0998	SGL_RS04820	RS04820	LysR family transcriptional regulator
SGL_RS04825	chromosome	631896	632093	-	gifA	ssl1911	SGL_RS04825	RS04825	hypothetical protein
SGL_RS04830	chromosome	632213	633157	+	slr1019	slr1019	SGL_RS04830	RS04830	PhzF family phenazine biosynthesis protein
SGL_RS04835	chromosome	633304	633384	+	SGL_RS04835	SGL_RS04835	NA	RS04835 // ST6803t07	tRNA-Leu
SGL_RS04840	chromosome	633789	634808	-	sll0997	sll0997	SGL_RS04840	RS04840	Probable thylakoid lumen protein sll0997
SGL_RS04845	chromosome	634892	636247	-	miaB	sll0996	SGL_RS04845	RS04845	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
SGL_RS04850	chromosome	636372	637523	+	sqdB	slr1020	SGL_RS04850	RS04850	UDP-sulfoquinovose synthase
SGL_RS04855	chromosome	637666	637956	+	ssr1698	ssr1698	SGL_RS04855	RS04855	DUF2470 domain-containing protein
SGL_RS04860	chromosome	637993	638688	-	sll0995	sll0995	SGL_RS04860	RS04860	Uma2 family endonuclease
SGL_RS04865	chromosome	638774	639496	-	sll0994	sll0994	SGL_RS04865	RS04865	DUF1449 family protein
SGL_RS04870	chromosome	639516	640613	-	synCaK	sll0993	SGL_RS04870	RS04870	potassium channel protein
SLL0993-AS	chromosome	640233	640341	+	sll0993-as	sll0993-as	NA	NA	SLL0993-AS-RNA
SGL_RS04875	chromosome	640737	642026	+	argD	slr1022	SGL_RS04875	RS04875	bifunctional acetylornithine transaminase/4-aminobutyrate&mdash;2-oxoglutarate transaminase
SGL_RS04880	chromosome	642153	642467	+	slr1023	slr1023	SGL_RS04880	RS04880	cupin domain-containing protein
SGL_RS04885	chromosome	642474	643115	+	slr1024	slr1024	SGL_RS04885	RS04885	PAP/fibrillin family protein
SGL_RS04890	chromosome	643144	643482	+	slr1025	slr1025	SGL_RS04890	RS04890	hypothetical protein
SGL_RS04895	chromosome	643549	644379	-	fghA	sll0992	SGL_RS04895	RS04895	S-formylglutathione hydrolase
SLL0992-AS	chromosome	643618	643711	+	sll0992-as	sll0992-as	NA	NA	SLL0992-AS-RNA
SGL_RS04900	chromosome	644388	645497	-	frmA	sll0990	SGL_RS04900	RS04900	S-(hydroxymethyl)glutathione dehydrogenase
SGL_RS04905	chromosome	645526	645598	-	SGL_RS04905	SGL_RS04905	NA	RS04905 // ST6803t08	tRNA-Arg
SGL_RS19435	chromosome	645696	645833	-	SGL_RS19435	SGL_RS19435	NA	RS19435	hypothetical protein
NCL0230	chromosome	645710	645843	-	ncl0230	ncl0230	NA	NA	NCL0230-RNA
NCR0280	chromosome	645865	646074	+	ncr0280	ncr0280	NA	NA	NCR0280-RNA
SLR1028-AS3	chromosome	646071	646097	-	slr1028-as3	slr1028-as3	NA	NA	SLR1028-AS3-RNA
SGL_RS04910	chromosome	646129	658047	+	slr1028	slr1028	SGL_RS04910	RS04910	SwmB domain-containing protein
SLR1028-AS2	chromosome	646437	646601	-	slr1028-as2	slr1028-as2	NA	NA	SLR1028-AS2-RNA
SLR1028-AS15	chromosome	647391	647438	-	slr1028-as15	slr1028-as15	NA	NA	SLR1028-AS15-RNA
SLR1028-AS9	chromosome	647887	647950	-	slr1028-as9	slr1028-as9	NA	NA	SLR1028-AS9-RNA
SLR1028-AS13	chromosome	648136	648245	-	slr1028-as13	slr1028-as13	NA	NA	SLR1028-AS13-RNA
SLR1028-AS4	chromosome	648241	648336	-	slr1028-as4	slr1028-as4	NA	NA	SLR1028-AS4-RNA
SLR1028-AS5	chromosome	648253	648315	-	slr1028-as5	slr1028-as5	NA	NA	SLR1028-AS5-RNA
SLR1028-AS11	chromosome	649144	649251	-	slr1028-as11	slr1028-as11	NA	NA	SLR1028-AS11-RNA
SLR1028-AS8	chromosome	649328	649507	-	slr1028-as8	slr1028-as8	NA	NA	SLR1028-AS8-RNA
SLR1028-AS7	chromosome	653259	653334	-	slr1028-as7	slr1028-as7	NA	NA	SLR1028-AS7-RNA
SLR1028-AS6	chromosome	653425	653475	-	slr1028-as6	slr1028-as6	NA	NA	SLR1028-AS6-RNA
SLR1028-AS	chromosome	654898	655027	-	slr1028-as	slr1028-as	NA	NA	SLR1028-AS-RNA
SLR1028-AS14	chromosome	656840	656897	-	slr1028-as14	slr1028-as14	NA	NA	SLR1028-AS14-RNA
SLR1028-AS12	chromosome	657319	657372	-	slr1028-as12	slr1028-as12	NA	NA	SLR1028-AS12-RNA
SLR1028-AS10	chromosome	657962	658011	-	slr1028-as10	slr1028-as10	NA	NA	SLR1028-AS10-RNA
SGL_RS04915	chromosome	658262	659335	+	chlI	slr1030	SGL_RS04915	RS04915 // bchI	magnesium chelatase ATPase subunit I
SGL_RS04920	chromosome	659370	660584	+	tyrS	slr1031	SGL_RS04920	RS04920	tyrosine--tRNA ligase
SGL_RS04925	chromosome	660772	661125	+	slr1032	slr1032	SGL_RS04925	RS04925	hypothetical protein
SGL_RS04930	chromosome	661152	662819	+	slr1033	slr1033	SGL_RS04930	RS04930	hypothetical protein
SGL_RS04935	chromosome	662886	663188	+	ssr1720	ssr1720	SGL_RS04935	RS04935	S4 domain-containing protein
SGL_RS04940	chromosome	663342	663731	+	slr1034	slr1034	SGL_RS04940	RS04940	single-stranded DNA-binding protein
SLR1034-AS	chromosome	663447	663511	-	slr1034-as	slr1034-as	NA	NA	SLR1034-AS-RNA
SGL_RS04945	chromosome	663788	664315	+	slr1035	slr1035	SGL_RS04945	RS04945	GIY-YIG nuclease family protein
SGL_RS04950	chromosome	664394	664775	-	sll0986	sll0986	SGL_RS04950	RS04950	IS1 family transposase (inactive)
SGL_RS04955	chromosome	664903	666945	-	sll0985	sll0985	SGL_RS04955	RS04955	mechanosensitive ion channel family protein
SGL_RS04960	chromosome	666929	667375	-	sll0984	sll0984	SGL_RS04960	RS04960	VOC family protein
SGL_RS04965	chromosome	667447	667842	+	slr1037	slr1037	SGL_RS04965	RS04965	response regulator involved in butanol tolerance
SGL_RS04970	chromosome	667852	668772	-	sll0983	sll0983	SGL_RS04970	RS04970	tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD
SGL_RS04975	chromosome	668776	669162	-	kpsT	sll0982	SGL_RS04975	RS04975	ABC-type exopolysaccharide (EPS) transporter
SGL_RS04980	chromosome	669254	669751	-	sll0981	sll0981	SGL_RS04980	RS04980	hypothetical protein
SLL0981-AS	chromosome	669443	669514	+	sll0981-as	sll0981-as	NA	NA	SLL0981-AS-RNA
SGL_RS04985	chromosome	669759	670949	-	sll0980	sll0980	SGL_RS04985	RS04985	reverse transcriptase-like protein
SLL0980-AS	chromosome	669844	669922	+	sll0980-as	sll0980-as	NA	NA	SLL0980-AS-RNA
SGL_RS04990	chromosome	671006	671707	+	slr1039	slr1039	SGL_RS04990	RS04990	class I SAM-dependent methyltransferase
NCL0240	chromosome	671734	671788	-	ncl0240	ncl0240	NA	NA	NCL0240-RNA
SGL_RS04995	chromosome	671912	672244	+	slr1376	slr1376	SGL_RS04995	RS04995	hypothetical protein
SGL_RS05000	chromosome	672291	672947	+	lepB2	slr1377	SGL_RS05000	RS05000	leader peptidase I LepB2
SGL_RS05005	chromosome	672989	673612	+	slr1378	slr1378	SGL_RS05005	RS05005	Uma2 family endonuclease
